Sample ID	Crop	Taxonomy	Level of improvement	"Country, State"	Region
AGG48895CHIC2-B00001-10-63	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48896CHIC2-B00001-10-64	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48898CHIC2-B00001-10-65	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48899CHIC2-B00001-10-66	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48900CHIC2-B00001-10-67	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48981CHIC2-B00001-10-68	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48982CHIC2-B00001-10-69	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48983CHIC2-B00001-10-70	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48984CHIC2-B00001-10-71	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49014CHIC2-B00001-10-72	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49015CHIC2-B00001-10-73	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49016CHIC2-B00001-10-74	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49017CHIC2-B00001-10-75	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49034CHIC2-B00001-10-76	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49035CHIC2-B00001-10-77	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49036CHIC2-B00001-10-78	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49037CHIC2-B00001-10-79	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49038CHIC2-B00001-10-80	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49040CHIC1-B00001-10-81	Chickpea	Cicer arietinum	Advanced Cultivar	"Australia, New South Wales"	Oceania
AGG49041CHIC1-B00001-10-82	Chickpea	Cicer arietinum	Advanced Cultivar	"Australia, New South Wales"	Oceania
AGG49042CHIC1-B00001-10-83	Chickpea	Cicer arietinum	Advanced Cultivar	"Australia, New South Wales"	Oceania
AGG49043CHIC1-B00001-10-84	Chickpea	Cicer arietinum	Advanced Cultivar	"Australia, New South Wales"	Oceania
AGG49044CHIC1-B00001-10-85	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49047CHIC1-B00001-10-86	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49053CHIC1-B00001-10-87	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49054CHIC1-B00001-10-88	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG47753CHIC2-B00001-10-89	Chickpea	Cicer arietinum	Landrace	Portugal	Western Europe
AGG49055CHIC1-B00001-10-90	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49056CHIC1-B00001-10-91	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG49167CHIC2-B00001-10-92	Chickpea	Cicer arietinum	Elite Breeding Material	India	South Asia
AGG49215CHIC3-B00001-10-93	Chickpea	Cicer arietinum	Landrace	Turkey	Middle East
AGG49265CHIC2-B00001-10-94	Chickpea	Cicer arietinum	Landrace	Mexico	Americas
AGG49267CHIC2-B00001-10-95	Chickpea	Cicer arietinum	Landrace	Nepal	South Asia
AGG44121CHIC2-B00001-9-01	Chickpea	Cicer arietinum	Advanced Cultivar	Spain	Southern Europe
AGG44153CHIC2-B00001-9-02	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG44160CHIC2-B00001-9-03	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG44161CHIC2-B00001-9-04	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG44173CHIC2-B00001-9-05	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Andhra Pradesh"	South Asia
AGG44179CHIC2-B00001-9-06	Chickpea	Cicer arietinum	Breeding Material	"India, Andhra Pradesh"	South Asia
AGG44190CHIC2-B00001-9-07	Chickpea	Cicer arietinum	Breeding Material	"India, Andhra Pradesh"	South Asia
AGG44213CHIC2-B00001-9-08	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG44511CHIC1-B00001-9-09	Chickpea	Cicer arietinum	Landrace	"Myanmar, Sagaing"	Southeast Asia
AGG44801CHIC2-B00001-9-10	Chickpea	Cicer arietinum	Advanced Cultivar	Unknown	Unknown
AGG44849CHIC2-B00001-9-11	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Andhra Pradesh"	South Asia
AGG44859CHIC2-B00001-9-12	Chickpea	Cicer arietinum	Advanced Cultivar	Unknown	Unknown
AGG44874CHIC2-B00001-9-13	Chickpea	Cicer arietinum	Advanced Cultivar	"Ethiopia, Gonder"	Africa
AGG45072CHIC2-B00001-9-14	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG45159CHIC2-B00001-9-15	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG45162CHIC2-B00001-9-16	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG45166CHIC2-B00001-9-17	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG45167CHIC2-B00001-9-18	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG45169CHIC2-B00001-9-19	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG45204CHIC3-B00001-9-20	Chickpea	Cicer arietinum	Landrace	"Turkey, Gaziantep"	Middle East
AGG45207CHIC2-B00001-9-21	Chickpea	Cicer arietinum	Advanced Cultivar	Syria	Middle East
AGG45209CHIC2-B00001-9-22	Chickpea	Cicer arietinum	Advanced Cultivar	Iran	Middle East
AGG45212CHIC2-B00001-9-23	Chickpea	Cicer arietinum	Advanced Cultivar	"Turkey, Balikesir"	Middle East
AGG45238CHIC2-B00001-9-24	Chickpea	Cicer arietinum	Landrace	Iran	Middle East
AGG45577CHIC2-B00001-9-25	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG45893CHIC2-B00001-9-26	Chickpea	Cicer arietinum	Landrace	Malawi	Africa
AGG45925CHIC2-B00001-9-27	Chickpea	Cicer arietinum	Landrace	Jordan	Middle East
AGG45953CHIC2-B00001-9-28	Chickpea	Cicer arietinum	Landrace	"China, Shanxi"	East Asia
AGG45991CHIC2-B00001-9-29	Chickpea	Cicer arietinum	Landrace	"Russian Federation, Dagestan"	Eastern Europe
AGG46140CHIC2-B00001-9-30	Chickpea	Cicer arietinum	Landrace	Israel	Middle East
AGG46162CHIC1-B00001-9-31	Chickpea	Cicer arietinum	Landrace	"China, Shanxi"	East Asia
AGG46254CHIC1-B00001-9-32	Chickpea	Cicer arietinum	Landrace	Kazakhstan	Central Asia
AGG46287CHIC2-B00001-9-33	Chickpea	Cicer arietinum	Landrace	"Afghanistan, Badakhshan"	South Asia
AGG46374CHIC2-B00001-9-34	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG46424CHIC2-B00001-9-35	Chickpea	Cicer arietinum	Landrace	Greece	Southern Europe
AGG46436CHIC2-B00001-9-36	Chickpea	Cicer arietinum	Landrace	Myanmar	Southeast Asia
AGG46437CHIC2-B00001-9-37	Chickpea	Cicer arietinum	Landrace	Myanmar	Southeast Asia
AGG46456CHIC2-B00001-9-38	Chickpea	Cicer arietinum	Breeding Material	Unknown	Unknown
AGG46738CHIC2-B00001-9-39	Chickpea	Cicer arietinum	Landrace	"Iran, East Azerbaijan"	Middle East
AGG46750CHIC3-B00001-9-40	Chickpea	Cicer arietinum	Landrace	Mexico	Americas
AGG46753CHIC2-B00001-9-41	Chickpea	Cicer arietinum	Landrace	Iran	Middle East
AGG46754CHIC2-B00001-9-42	Chickpea	Cicer arietinum	Landrace	Iran	Middle East
AGG46759CHIC5-B00001-9-43	Chickpea	Cicer arietinum	Landrace	.	Unknown
AGG46770CHIC2-B00001-9-44	Chickpea	Cicer arietinum	Breeding Material	"India, Andhra Pradesh"	South Asia
AGG46784CHIC2-B00001-9-45	Chickpea	Cicer arietinum	Breeding Material	Mexico	Americas
AGG46786CHIC2-B00001-9-46	Chickpea	Cicer arietinum	Breeding Material	Tajikistan	Central Asia
AGG46793CHIC2-B00001-9-47	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Andhra Pradesh"	South Asia
AGG46974CHIC5-B00001-9-48	Chickpea	Cicer arietinum	Advanced Cultivar	"Uzbekistan, Samarqand"	Central Asia
AGG46979CHIC1-B00001-9-49	Chickpea	Cicer arietinum	Advanced Cultivar	Uzbekistan	Central Asia
AGG46982CHIC1-B00001-9-50	Chickpea	Cicer arietinum	Advanced Cultivar	Uzbekistan	Central Asia
AGG46999CHIC2-B00001-9-51	Chickpea	Cicer arietinum	Landrace	"Russian Federation, Saratov"	Eastern Europe
